Claim ID,Date Submitted,v1.0 Address,v1.0 Balance,Signature,v1.1.0 Address,Amount Distributed,TX Hash,Date Distributed,Status,Notes
1,,,,,,,,,Pending,
2,,,,,,,,,Pending,
3,,,,,,,,,Pending,
4,,,,,,,,,Pending,
5,,,,,,,,,Pending,
6,,,,,,,,,Pending,
7,,,,,,,,,Pending,
8,,,,,,,,,Pending,
9,,,,,,,,,Pending,
10,,,,,,,,,Pending,
11,,,,,,,,,Pending,
12,,,,,,,,,Pending,
13,,,,,,,,,Pending,
14,,,,,,,,,Pending,
15,,,,,,,,,Pending,
16,,,,,,,,,Pending,
17,,,,,,,,,Pending,
18,,,,,,,,,Pending,
19,,,,,,,,,Pending,
20,,,,,,,,,Pending,
